,name,address,brand,open_time,cash_r,cash_h,cash_k,mem_r,mem_h,mem_k
22,Dr.Drive セルフ勧修寺店 / (株)ENEOSフロンティア,京都府京都市山科区勧修寺風呂尻町138,ENEOS,24時間営業,-,-,-,-,-,-
23,国道伏見SS / 上原成商事(株),京都府京都市伏見区下鳥羽南柳長町62,コスモ石油,24時間営業,-,-,-,-,-,-
24,堀川高辻セルフSS / トーア油業(株),京都府京都市下京区高辻通堀川東入ル西高辻町198,ENEOS,24時間営業,-,-,-,-,-,-
25,久世セルフSS / トーア油業(株),京都府京都市南区久世東土川町53-1,ENEOS,24時間営業,-,-,-,-,-,-
26,1号京都南インター下りSS / (株)西日本宇佐美,京都府京都市伏見区中島中道町116,ENEOS,24時間営業,-,-,-,-,-,-
27,京都東インターチェンジSS / (株)東山,京都府京都市山科区小山中ノ川町3,ENEOS,24時間営業,-,-,-,-,-,-
28,新山科SS / (株)東山,京都府京都市山科区大宅御供田町242,ENEOS,営業時間 07:00 - 20:00,-,-,-,-,-,-
29,六地蔵SS / (株)東山,京都府京都市伏見区桃山町西尾24,ENEOS,営業時間 07:30 - 19:00,-,-,-,-,-,-
30,伏見SS / (株)ペガサス,京都府京都市伏見区深草西浦町5-52,ENEOS,営業時間 06:00 - 21:00,149,161,124,149,161,124
31,Dr.Drive セルフ西大路店 / 滋賀石油(株),京都府京都市右京区西院高田町27,ENEOS,24時間営業,149,161,124,149,161,124
32,Dr.Drive セルフ大手筋店 / 滋賀石油(株),京都府京都市伏見区下鳥羽広長町175,ENEOS,営業時間 07:00 - 21:00,149,161,124,149,161,124
33,Dr.Drive セルフ吉祥院店 / 滋賀石油(株),京都府京都市南区吉祥院西ノ茶屋町46,ENEOS,24時間営業,149,161,124,149,161,124
34,高野SS / 中野石油(株),京都府京都市左京区田中上大久保町1,ENEOS,営業時間 08:00 - 20:00,149,161,124,149,161,124
35,Dr.Drive セルフ伏見深草店 / (株)ENEOSフロンティア,京都府京都市伏見区深草加賀屋敷町6-4,ENEOS,24時間営業,149,161,124,149,161,124
36,Dr.Drive セルフ桃山和泉店 / (株)ENEOSフロンティア,京都府京都市伏見区桃山町和泉16-6,ENEOS,24時間営業,149,161,124,149,161,124
